path;header;created;author;birthday;header_trans;author_trans;translator;date_trans;sphere;lang;lang_trans;lang_variant;__num__;comments
kor-rus_xml/0X1=LOVESONG_(I_Know_I_Love_You)_by_TXT.xml;0X1=LOVESONG (I Know I Love You);2021;TXT;;0X1=LOVESONG (I Know I Love You);TXT;dorion;;художественная;kor;rus;;0;
kor-rus_xml/10_Months_by_ENHYPEN.xml;10 Months;2020;ENHYPEN;;10 Months;ENHYPEN;Varennik;;художественная;kor;rus;;1;
kor-rus_xml/19_by_Stray_Kids.xml;19;2019;Stray Kids;;19;Stray Kids;Мин Криветка;;художественная;kor;rus;;2;
kor-rus_xml/24_hash_7_by_TWICE.xml;24 hash 7;2017;TWICE;;24 hash 7;TWICE;Yooko;;художественная;kor;rus;;3;
kor-rus_xml/24_HOURS_by_SUNMI.xml;24 HOURS;2014;SUNMI;;24 HOURS;SUNMI;ArchiePark;;художественная;kor;rus;;4;
kor-rus_xml/24_to_25_by_Stray_Kids.xml;24 to 25;2021;Stray Kids;;24 to 25;Stray Kids;Varennik;;художественная;kor;rus;;5;
kor-rus_xml/2U_by_KANG_DANIEL.xml;2U;2020;KANG DANIEL;;2U;KANG DANIEL;cuzcus;;художественная;kor;rus;;6;
kor-rus_xml/30sexy_by_RAIN.xml;30sexy;2014;RAIN;;30sexy;RAIN;Varennik;;художественная;kor;rus;;7;
kor-rus_xml/3rd_Eye_by_Stray_Kids.xml;3rd Eye;2018;Stray Kids;;3rd Eye;Stray Kids;Varennik;;художественная;kor;rus;;8;
kor-rus_xml/A_Lie_by_B1A4.xml;A Lie;2016;B1A4;;A Lie;B1A4;chatterbox;;художественная;kor;rus;;9;
kor-rus_xml/A-Yo_by_SHINee.xml;A-Yo;2010;SHINee;;A-Yo;SHINee;hyori033;;художественная;kor;rus;;10;
